exp_id,instancia,id_config,semilla,generacion,evaluaciones,best_fitness,media_fitness,best_lcoh,factible_best
E01_PM,small,PM=0.001,101,0,40,5304442.090786866,116246743.32270737,,False
E01_PM,small,PM=0.001,101,1,80,5304442.090786866,68195918.70360385,,False
E01_PM,small,PM=0.001,101,2,120,5304442.090786866,52266460.02930783,,False
E01_PM,small,PM=0.001,101,3,160,5304442.090786866,43286181.95383255,,False
E01_PM,small,PM=0.001,101,4,200,5304442.090786866,33154666.419657446,,False
E01_PM,small,PM=0.001,101,5,240,5304442.090786866,22141658.456138544,,False
E01_PM,small,PM=0.001,101,6,280,5304442.090786866,18390885.649108108,,False
E01_PM,small,PM=0.001,101,7,320,5304442.090786866,13122836.370521989,,False
E01_PM,small,PM=0.001,101,8,360,5304442.090786866,9083417.066673009,,False
E01_PM,small,PM=0.001,101,9,400,5304442.090786866,7574706.781078617,,False
E01_PM,small,PM=0.001,101,10,440,5304442.090786866,6820351.638281422,,False
E01_PM,small,PM=0.001,101,11,480,5304442.090786866,5319653.11307026,,False
E01_PM,small,PM=0.001,101,12,520,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,13,560,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,14,600,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,15,640,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,16,680,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,17,720,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,18,760,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,19,800,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,20,840,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,21,880,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,22,920,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,23,960,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,24,1000,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,25,1040,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,26,1080,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,27,1120,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,28,1160,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,29,1200,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,30,1240,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,31,1280,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,32,1320,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,33,1360,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,34,1400,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,35,1440,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,36,1480,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,37,1520,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,38,1560,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,39,1600,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,40,1640,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,41,1680,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,42,1720,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,43,1760,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,44,1800,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,45,1840,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,46,1880,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,47,1920,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,48,1960,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,49,2000,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,50,2040,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,51,2080,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,52,2120,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,53,2160,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,54,2200,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,55,2240,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,56,2280,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,57,2320,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,58,2360,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,59,2400,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,60,2440,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,61,2480,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,62,2520,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,63,2560,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,64,2600,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,65,2640,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,66,2680,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,67,2720,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,68,2760,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,69,2800,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,70,2840,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,71,2880,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,72,2920,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,73,2960,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,74,3000,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,75,3040,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,76,3080,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,77,3120,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,78,3160,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,79,3200,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,80,3240,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,81,3280,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,82,3320,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,83,3360,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,84,3400,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,85,3440,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,86,3480,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,87,3520,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,88,3560,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,89,3600,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,90,3640,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,91,3680,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,92,3720,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,93,3760,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,94,3800,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,95,3840,5304442.090786866,5304442.090786866,,False
E01_PM,small,PM=0.001,101,96,3880,5304442.090786866,5304442.090786866,,False
