exp_id,calibracion,instancia,P,J,K,M,HTotal,id_config,tam_poblacion,n_generaciones,tiempo_max,prob_cruce,prob_mutacion,k_torneo,elitismo,tipo_init,frac_semilla,pool_tipo,pool_n,pool_sigma,m_ref,w_visita,w_capacidad,w_camiones,w_produccion,semilla,rep,factible,lcoh,coste_total,capex,opex,transporte,penalizacion,fitness,viol_visita,viol_capacidad,viol_camiones,viol_produccion,n_camiones,n_plantas_abiertas,modos_usados,tiempo_s,generaciones_ejec,evaluaciones,gen_mejor,gen_estancamiento,error,timestamp,hash_config
E04_N,Calibracion del tamano de la poblacion,small,4,8,16,3,22400.0,N=50,50,100,,0.6,0.2,3,True,A,0.5,nogood,8,0.15,,,,,,101,0,False,,102694.79463170732,15900.0,73073.17073170732,13721.623900000002,5201443.390243912,5304138.18487562,0,0.0,0,520.144,8,3,liquido,0.714952927000013,100,5050,40,60,,2026-09-03T21:21:45,3514e86f11
E04_N,Calibracion del tamano de la poblacion,small,4,8,16,3,22400.0,N=50,50,100,,0.6,0.2,3,True,A,0.5,nogood,8,0.15,,,,,,202,1,True,4.6045534210583625,103141.99663170733,21100.0,73073.17073170733,8968.8259,0.0,103141.99663170733,0,0.0,0,0.0,8,4,liquido,0.8598163859999204,100,5050,81,19,,2026-09-03T21:21:46,3514e86f11
E04_N,Calibracion del tamano de la poblacion,small,4,8,16,3,22400.0,N=50,50,100,,0.6,0.2,3,True,A,0.5,nogood,8,0.15,,,,,,303,2,False,,105066.09178997291,15900.0,75728.9972899729,13437.094500000001,5201443.390243912,5306509.482033885,0,0.0,0,520.144,7,3,amoniaco|liquido,0.6958441369999946,100,5050,93,7,,2026-09-03T21:21:47,3514e86f11
E04_N,Calibracion del tamano de la poblacion,small,4,8,16,3,22400.0,N=50,50,100,,0.6,0.2,3,True,A,0.5,nogood,8,0.15,,,,,,404,3,True,4.673885669751742,104695.03900243904,21100.0,72390.24390243903,11204.7951,0.0,104695.03900243904,0,0.0,0,0.0,8,4,liquido,0.7324479970000084,100,5050,21,79,,2026-09-03T21:21:48,3514e86f11
E04_N,Calibracion del tamano de la poblacion,small,4,8,16,3,22400.0,N=50,50,100,,0.6,0.2,3,True,A,0.5,nogood,8,0.15,,,,,,505,4,True,4.6045534210583625,103141.99663170733,21100.0,73073.17073170733,8968.8259,0.0,103141.99663170733,0,0.0,0,0.0,8,4,liquido,0.7288820070000384,100,5050,84,16,,2026-09-03T21:21:49,3514e86f11
E04_N,Calibracion del tamano de la poblacion,small,4,8,16,3,22400.0,N=50,50,100,,0.6,0.2,3,True,A,0.5,nogood,8,0.15,,,,,,606,5,True,4.6045534210583625,103141.99663170733,21100.0,73073.17073170733,8968.8259,0.0,103141.99663170733,0,0.0,0,0.0,8,4,liquido,0.7162310469998374,100,5050,76,24,,2026-09-03T21:21:49,3514e86f11
E04_N,Calibracion del tamano de la poblacion,small,4,8,16,3,22400.0,N=50,50,100,,0.6,0.2,3,True,A,0.5,nogood,8,0.15,,,,,,707,6,False,,100977.59688170732,15900.0,73073.17073170732,12004.42615,5201443.390243912,5302420.987125619,0,0.0,0,520.144,8,3,liquido,0.7143019970001205,100,5050,70,30,,2026-09-03T21:21:50,3514e86f11
E04_N,Calibracion del tamano de la poblacion,small,4,8,16,3,22400.0,N=50,50,100,,0.6,0.2,3,True,A,0.5,nogood,8,0.15,,,,,,808,7,True,4.608414470165505,103228.48413170733,21100.0,73073.17073170733,9055.313400000001,0.0,103228.48413170733,0,0.0,0,0.0,8,4,liquido,0.7261416670000926,100,5050,28,72,,2026-09-03T21:21:51,3514e86f11
E04_N,Calibracion del tamano de la poblacion,small,4,8,16,3,22400.0,N=50,50,100,,0.6,0.2,3,True,A,0.5,nogood,8,0.15,,,,,,909,8,True,4.658020928680314,104339.66880243903,21100.0,72390.24390243903,10849.424900000002,0.0,104339.66880243903,0,0.0,0,0.0,8,4,liquido,0.7292255770000793,100,5050,43,57,,2026-09-03T21:21:51,3514e86f11
E04_N,Calibracion del tamano de la poblacion,small,4,8,16,3,22400.0,N=50,50,100,,0.6,0.2,3,True,A,0.5,nogood,8,0.15,,,,,,1010,9,False,,101209.83848170732,15900.0,73073.17073170732,12236.66775,5201443.390243912,5302653.22872562,0,0.0,0,520.144,8,3,liquido,0.6991708370001106,100,5050,53,47,,2026-09-03T21:21:52,3514e86f11
E04_N,Calibracion del tamano de la poblacion,small,4,8,16,3,22400.0,N=50,50,100,,0.6,0.2,3,True,A,0.5,nogood,8,0.15,,,,,,1111,10,True,4.659418587162457,104370.97635243903,21100.0,72390.24390243903,10880.732450000001,0.0,104370.97635243903,0,0.0,0,0.0,8,4,liquido,0.9569394160000684,100,5050,51,49,,2026-09-03T21:21:53,3514e86f11
E04_N,Calibracion del tamano de la poblacion,small,4,8,16,3,22400.0,N=50,50,100,,0.6,0.2,3,True,A,0.5,nogood,8,0.15,,,,,,1212,11,True,4.616694323769599,103413.95285243903,21100.0,72390.24390243903,9923.708950000002,0.0,103413.95285243903,0,0.0,0,0.0,8,4,liquido,1.108958715000199,100,5050,67,33,,2026-09-03T21:21:54,3514e86f11
E04_N,Calibracion del tamano de la poblacion,small,4,8,16,3,22400.0,N=50,50,100,,0.6,0.2,3,True,A,0.5,nogood,8,0.15,,,,,,1313,12,True,4.589244453233886,102799.07575243904,21100.0,72390.24390243903,9308.83185,0.0,102799.07575243904,0,0.0,0,0.0,8,4,liquido,1.1858461049998823,100,5050,78,22,,2026-09-03T21:21:55,3514e86f11
E04_N,Calibracion del tamano de la poblacion,small,4,8,16,3,22400.0,N=50,50,100,,0.6,0.2,3,True,A,0.5,nogood,8,0.15,,,,,,1414,13,True,4.589244453233886,102799.07575243904,21100.0,72390.24390243903,9308.831849999999,0.0,102799.07575243904,0,0.0,0,0.0,8,4,liquido,0.7318107769999642,100,5050,67,33,,2026-09-03T21:21:56,3514e86f11
E04_N,Calibracion del tamano de la poblacion,small,4,8,16,3,22400.0,N=50,50,100,,0.6,0.2,3,True,A,0.5,nogood,8,0.15,,,,,,1515,14,True,4.6128332746624565,103327.46535243903,21100.0,72390.24390243903,9837.221450000001,0.0,103327.46535243903,0,0.0,0,0.0,8,4,liquido,0.7377787259999877,100,5050,69,31,,2026-09-03T21:21:57,3514e86f11
E04_N,Calibracion del tamano de la poblacion,small,4,8,16,3,22400.0,N=50,50,100,,0.6,0.2,3,True,A,0.5,nogood,8,0.15,,,,,,1616,15,True,4.608414470165505,103228.48413170733,21100.0,73073.17073170733,9055.3134,0.0,103228.48413170733,0,0.0,0,0.0,8,4,liquido,0.7116362970000409,100,5050,88,12,,2026-09-03T21:21:58,3514e86f11
E04_N,Calibracion del tamano de la poblacion,small,4,8,16,3,22400.0,N=50,50,100,,0.6,0.2,3,True,A,0.5,nogood,8,0.15,,,,,,1717,16,False,,100082.67788170732,15900.0,73073.17073170732,11109.507149999998,5502813.3902439,5602896.068125607,0,0.0,0,550.281,8,3,liquido,0.6975177969998185,100,5050,18,82,,2026-09-03T21:21:58,3514e86f11
