exp_id,calibracion,instancia,P,J,K,HTotal,id_config,presupuesto,tam_poblacion,n_generaciones,tiempo_max,prob_cruce,prob_mutacion,k_torneo,tipo_init,frac_semilla,n_ejec,n_factibles,tasa_factibilidad,lcoh_media,lcoh_std,lcoh_mejor,lcoh_mediana,lcoh_peor,sin_factibles,n_bajo,fitness_media,fitness_std,fitness_mejor,tiempo_medio_s,tiempo_std_s,gen_mejor_media,gen_estancamiento_media,n_con_error,n_infact_visita,n_infact_capacidad,n_infact_camiones,n_infact_produccion,semillas,es_mejor_en_instancia,rank_en_instancia
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),small,4,8,16,22400.0,NxG=20x400,20x400,20,400,,0.6,0.2,2,B,0.5,20,20,1.0,4.605381406418772,0.002548485166870406,4.6045534210583625,4.6045534210583625,4.6128332746624565,False,False,103160.5435037805,57.08606773790101,103141.99663170733,1.2566511078000304,0.20361966036769794,35.85,364.15,0,0,0,0,0,101|202|303|404|505|606|707|808|909|1010|1111|1212|1313|1414|1515|1616|1717|1818|1919|2020,False,4.0
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),small,4,8,16,22400.0,NxG=40x200,40x200,40,200,,0.6,0.2,2,B,0.5,20,20,1.0,4.604967413738568,0.0018514315502500822,4.6045534210583625,4.6045534210583625,4.6128332746624565,False,False,103151.27006774391,41.47206672560467,103141.99663170733,1.2324031106999656,0.198481076393899,23.2,176.8,0,0,0,0,0,101|202|303|404|505|606|707|808|909|1010|1111|1212|1313|1414|1515|1616|1717|1818|1919|2020,False,3.0
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),small,4,8,16,22400.0,NxG=80x100,80x100,80,100,,0.6,0.2,2,B,0.5,20,20,1.0,4.603787972667139,0.003423189272088687,4.589244453233886,4.6045534210583625,4.6045534210583625,False,False,103124.8505877439,76.67943969478972,102799.07575243904,1.2506362663499886,0.20130308636133126,22.55,77.45,0,0,0,0,0,101|202|303|404|505|606|707|808|909|1010|1111|1212|1313|1414|1515|1616|1717|1818|1919|2020,True,1.0
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),small,4,8,16,22400.0,NxG=160x50,160x50,160,50,,0.6,0.2,2,B,0.5,20,20,1.0,4.604553421058364,1.8225036628030615e-15,4.6045534210583625,4.6045534210583625,4.6045534210583625,False,False,103141.99663170733,1.492995000568268e-11,103141.99663170733,1.3231859521500156,0.1959602431474778,18.45,31.55,0,0,0,0,0,101|202|303|404|505|606|707|808|909|1010|1111|1212|1313|1414|1515|1616|1717|1818|1919|2020,False,2.0
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),medium,8,18,34,38600.0,NxG=20x400,20x400,20,400,,0.6,0.2,2,B,0.5,20,20,1.0,4.413020413137487,0.0652984415355282,4.312690655440415,4.455313305336156,4.490112799714254,False,False,170342.58794710707,2520.519843271391,166469.8593,2.3834657079999944,0.33549714472539444,249.85,150.15,0,0,0,0,0,101|202|303|404|505|606|707|808|909|1010|1111|1212|1313|1414|1515|1616|1717|1818|1919|2020,False,3.0
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),medium,8,18,34,38600.0,NxG=40x200,40x200,40,200,,0.6,0.2,2,B,0.5,20,20,1.0,4.391592136531657,0.05765855881860479,4.314617530487805,4.408084820011373,4.457880823012764,False,False,169515.45647012195,2225.6203703981514,166544.23667682926,2.3313932150499794,0.31045468941391624,139.05,60.95,0,0,0,0,0,101|202|303|404|505|606|707|808|909|1010|1111|1212|1313|1414|1515|1616|1717|1818|1919|2020,False,2.0
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),medium,8,18,34,38600.0,NxG=80x100,80x100,80,100,,0.6,0.2,2,B,0.5,20,20,1.0,4.37559192539492,0.04681421389720085,4.323528875647669,4.349790613326173,4.46737725732971,False,False,168897.8483202439,1807.0286564319524,166888.2146,2.4069719850499722,0.28490279554861603,78.85,21.15,0,0,0,0,0,101|202|303|404|505|606|707|808|909|1010|1111|1212|1313|1414|1515|1616|1717|1818|1919|2020,True,1.0
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),medium,8,18,34,38600.0,NxG=160x50,160x50,160,50,,0.6,0.2,2,B,0.5,20,20,1.0,4.434780198598299,0.05206698391578919,4.342013634715026,4.4612650956179705,4.487452981788056,False,False,171182.51566589432,2009.7855791494608,167601.7263,2.3973613768999713,0.28941234378901276,45.75,4.25,0,0,0,0,0,101|202|303|404|505|606|707|808|909|1010|1111|1212|1313|1414|1515|1616|1717|1818|1919|2020,False,4.0
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),large,12,30,55,53000.0,NxG=20x400,20x400,20,400,,0.6,0.2,2,B,0.5,20,20,1.0,4.479587033671959,0.037659205768920234,4.431623301035435,4.465475967878509,4.557586677869816,False,False,237418.11278461386,1995.9379057527758,234876.03495487804,3.7126604652499737,0.39269616488762915,350.2,49.8,0,0,0,0,0,101|202|303|404|505|606|707|808|909|1010|1111|1212|1313|1414|1515|1616|1717|1818|1919|2020,True,1.0
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),large,12,30,55,53000.0,NxG=40x200,40x200,40,200,,0.6,0.2,2,B,0.5,20,20,1.0,4.509000464385259,0.057569823966694404,4.423591359042798,4.48885686235619,4.623791666589967,False,False,238977.0246124187,3051.200670234802,234450.3420292683,3.6353954678000036,0.40679368246472886,176.1,23.9,0,0,0,0,0,101|202|303|404|505|606|707|808|909|1010|1111|1212|1313|1414|1515|1616|1717|1818|1919|2020,False,2.0
